id,from,at,to,open,close,min,max,volume,SMA20,EMA50,RSI,MACD,MACD_Signal,Bollinger_High,Bollinger_Low
210817424,1721746282,1721746283000000000,1721746283,1.087665,1.087665,1.087665,1.087665,0,1.0876725,1.0876678520740277,46.71470382299614,6.198223534426006e-07,1.0080095756261497e-06,1.0876902482393496,1.0876547517606505
210817425,1721746283,1721746284000000000,1721746284,1.087675,1.087675,1.087675,1.087675,0,1.0876725,1.0876681323848503,50.743695624766055,6.691501315270187e-07,9.402376868063235e-07,1.0876902482393496,1.0876547517606505
210817426,1721746284,1721746285000000000,1721746285,1.087655,1.087655,1.087655,1.087655,0,1.0876715000000001,1.087667617389366,43.63712877200972,-8.952699868114422e-07,5.731361520827704e-07,1.0876907613602844,1.0876522386397158
210817427,1721746285,1721746286000000000,1721746286,1.087665,1.087665,1.087665,1.087665,0,1.0876709999999998,1.087667514746646,47.589440881663485,-1.3130319602705498e-06,1.9590252961210636e-07,1.0876903907194295,1.0876516092805701
210817428,1721746286,1721746287000000000,1721746287,1.087675,1.087675,1.087675,1.087675,0,1.0876705,1.0876678082859932,51.269412387500424,-8.27654224710983e-07,-8.808821252511502e-09,1.0876889119526394,1.0876520880473606
210817429,1721746287,1721746288000000000,1721746288,1.087655,1.087655,1.087655,1.087655,0,1.0876695,1.087667306000268,44.53443301832019,-2.033382161537034e-06,-4.13723489309416e-07,1.0876889679223338,1.0876500320776663
210817430,1721746288,1721746289000000000,1721746289,1.087655,1.087655,1.087655,1.087655,0,1.087669,1.0876668234120221,44.53443301832019,-2.9548683553315414e-06,-9.219524625138411e-07,1.087689396078054,1.087648603921946
210817431,1721746289,1721746290000000000,1721746290,1.087665,1.087665,1.087665,1.087665,0,1.0876685,1.0876667519056684,48.460498296360726,-2.8454359617402503e-06,-1.306649162359123e-06,1.0876887731349323,1.0876482268650676
210817432,1721746290,1721746291000000000,1721746291,1.087665,1.087665,1.087665,1.087665,0,1.0876685000000001,1.0876666832034854,48.460498296360726,-2.7272717106896494e-06,-1.5907736720252283e-06,1.0876887731349325,1.0876482268650678
210817433,1721746291,1721746292000000000,1721746292,1.087665,1.087665,1.087665,1.087665,0,1.087668,1.0876666171955056,48.460498296360726,-2.6036128619733034e-06,-1.7933415100148435e-06,1.087688099751242,1.0876479002487582
210817434,1721746292,1721746293000000000,1721746293,1.087665,1.087665,1.087665,1.087665,0,1.087668,1.0876665537760741,48.460498296360726,-2.4770583468836094e-06,-1.9300848773885967e-06,1.087688099751242,1.0876479002487582
210817435,1721746293,1721746294000000000,1721746294,1.087645,1.087645,1.087645,1.087645,0,1.087667,1.0876657085299535,40.70888654424869,-3.94511895929206e-06,-2.3330916937692897e-06,1.0876894499443202,1.0876445500556797
210817436,1721746294,1721746295000000000,1721746295,1.087645,1.087645,1.087645,1.087645,0,1.087666,1.0876648964307396,40.70888654424869,-5.050350277313598e-06,-2.876543410478152e-06,1.087690413111231,1.087641586888769
210817437,1721746295,1721746296000000000,1721746296,1.087655,1.087655,1.087655,1.087655,0,1.087666,1.0876645083354164,45.74168788156517,-5.0609976030013826e-06,-3.313434248982798e-06,1.087690413111231,1.087641586888769
210817438,1721746296,1721746297000000000,1721746297,1.087655,1.087655,1.087655,1.087655,0,1.0876655000000002,1.0876641354595178,45.74168788156517,-5.011664338416821e-06,-3.653080266869603e-06,1.087690379710609,1.0876406202893913
210817439,1721746297,1721746298000000000,1721746298,1.087675,1.087675,1.087675,1.087675,0,1.0876655000000002,1.087664561519929,54.667181867979835,-3.320458340949628e-06,-3.586555881685608e-06,1.087690379710609,1.0876406202893913
210817440,1721746298,1721746299000000000,1721746299,1.087675,1.087675,1.087675,1.087675,0,1.0876645,1.0876649708720887,54.667181867979835,-1.9575994161247223e-06,-3.260764588573431e-06,1.087685924285285,1.087643075714715
210817441,1721746299,1721746300000000000,1721746300,1.087665,1.087665,1.087665,1.087665,0,1.087664,1.0876649720143599,49.90656698917812,-1.665244424575718e-06,-2.9416605557738886e-06,1.087684880613017,1.0876431193869829
210817442,1721746300,1721746301000000000,1721746301,1.087655,1.087655,1.087655,1.087655,0,1.0876625,1.0876645809549732,45.62751229576952,-2.214935021838116e-06,-2.796315448986734e-06,1.0876813414436803,1.0876436585563196
210817443,1721746301,1721746302000000000,1721746302,1.087655,1.087655,1.087655,1.087655,0,1.0876614999999998,1.0876642052312488,45.62751229576952,-2.6203628684662306e-06,-2.7611249328826337e-06,1.0876796934053972,1.0876433065946025
210817444,1721746302,1721746303000000000,1721746303,1.087665,1.087665,1.087665,1.087665,0,1.0876615,1.0876642363986508,50.545272221344916,-2.1104232854618488e-06,-2.6309846033984765e-06,1.0876796934053974,1.0876433065946027
210817445,1721746303,1721746304000000000,1721746304,1.087655,1.087655,1.087655,1.087655,0,1.0876605,1.087663874186939,46.0589841350981,-2.4845683610497105e-06,-2.6017013549287234e-06,1.0876777916164642,1.0876432083835357
210817446,1721746304,1721746305000000000,1721746305,1.087655,1.087655,1.087655,1.087655,0,1.0876605,1.0876635261796082,46.0589841350981,-2.7493877978734815e-06,-2.631238643517675e-06,1.0876777916164642,1.0876432083835357
210817447,1721746305,1721746306000000000,1721746306,1.087645,1.087645,1.087645,1.087645,0,1.0876595,1.0876627996627608,41.760263559632676,-3.7232561564959354e-06,-2.849642146113327e-06,1.087677911952638,1.087641088047362
210817448,1721746306,1721746307000000000,1721746307,1.087655,1.087655,1.087655,1.087655,0,1.0876585,1.087662493793633,47.07932402635678,-3.64610736447446e-06,-3.0089351897855538e-06,1.0876755587221076,1.0876414412778925
210817449,1721746307,1721746308000000000,1721746308,1.087655,1.087655,1.087655,1.087655,0,1.0876585,1.087662199919373,47.07932402635678,-3.544112073372574e-06,-3.115970566502958e-06,1.0876755587221076,1.0876414412778925
210817450,1721746308,1721746309000000000,1721746309,1.087675,1.087675,1.087675,1.087675,0,1.0876595,1.0876627018833191,56.33043261018041,-1.8283708955735278e-06,-2.858450632317072e-06,1.087677911952638,1.087641088047362
210817451,1721746309,1721746310000000000,1721746310,1.087675,1.087675,1.087675,1.087675,0,1.08766,1.0876631841624047,56.33043261018041,-4.632930965531301e-07,-2.3794191251642836e-06,1.0876794935886882,1.087640506411312
